a_objnumber	b_filename	c_soundname	d_genre	e_value	f_famil	g_filename1	h_soundname1	i_genre1	j_value1	k_famil1	l_difference	l_difference_a	m_fixation_w	n_metric	o_location	p_condition_id	q_block_no
286	53.jpg	53.wav	Soul	4	5	16.jpg	16.wav	Pop	2	5	2	2	1	1	0	23	13
288	50.jpg	50.wav	Rock	5	5	52.jpg	52.wav	Old_rock	3	4	2	2	1	0	0	21	13
299	13.jpg	13.wav	Rock	2	4	45.jpg	45.wav	Pop	4	5	2	-2	0	0	1	10	13
302	27.jpg	27.wav	Pop	1	5	11.jpg	11.wav	Pop	2	5	1	-1	0	1	0	7	13
287	20.jpg	20.wav	Regae	3	4	51.jpg	51.wav	Pop	1	4	2	2	1	0	1	22	13
290	45.jpg	45.wav	Pop	4	5	30.jpg	30.wav	Cl_ce	3	4	1	1	1	1	0	19	13
298	52.jpg	52.wav	Old_rock	3	4	8.jpg	8.wav	Pop	5	5	2	-2	0	1	0	11	13
296	36.jpg	36.wav	Pop	5	5	54.jpg	54.wav	Rap	5	4	0	0	1	0	0	13	13
295	1.jpg	1.wav	Pop	3	4	52.jpg	52.wav	Old_rock	3	4	0	0	1	0	1	14	13
322	38.jpg	38.wav	Jazz	2	5	47.jpg	47.wav	Pop	3	5	1	-1	0	1	0	7	14
318	11.jpg	11.wav	Pop	2	5	46.jpg	46.wav	Rock	4	5	2	-2	0	1	0	11	14
305	54.jpg	54.wav	Rap	5	4	30.jpg	30.wav	Cl_ce	3	4	2	2	1	1	1	24	14
310	50.jpg	50.wav	Rock	5	5	45.jpg	45.wav	Pop	4	5	1	1	1	1	0	19	14
311	1.jpg	1.wav	Pop	3	4	9.jpg	9.wav	Rock	2	5	1	1	1	0	1	18	14
323	51.jpg	51.wav	Pop	1	4	49.jpg	49.wav	Pop	2	5	1	-1	0	0	1	6	14
315	5.jpg	5.wav	Pop	2	5	13.jpg	13.wav	Rock	2	4	0	0	1	0	1	14	14
324	27.jpg	27.wav	Pop	1	5	44.jpg	44.wav	70_rock	2	5	1	-1	0	0	0	5	14
308	24.jpg	24.wav	Jazz	5	4	19.jpg	19.wav	Rock	3	5	2	2	1	0	0	21	14
307	24.jpg	24.wav	Jazz	5	4	20.jpg	20.wav	Regae	3	4	2	2	1	0	1	22	14
319	19.jpg	19.wav	Rock	3	5	50.jpg	50.wav	Rock	5	5	2	-2	0	0	1	10	14
320	1.jpg	1.wav	Pop	3	4	24.jpg	24.wav	Jazz	5	4	2	-2	0	0	0	9	14
306	48.jpg	48.wav	Rock	3	5	51.jpg	51.wav	Pop	1	4	2	2	1	1	0	23	14
309	20.jpg	20.wav	Regae	3	4	44.jpg	44.wav	70_rock	2	5	1	1	1	1	1	20	14
316	20.jpg	20.wav	Regae	3	4	30.jpg	30.wav	Cl_ce	3	4	0	0	1	0	0	13	14
313	54.jpg	54.wav	Rap	5	4	41.jpg	41.wav	Pop	5	5	0	0	1	1	1	16	14
312	16.jpg	16.wav	Pop	2	5	51.jpg	51.wav	Pop	1	4	1	1	1	0	0	17	14
